title,price,rating,image
Fossil Men's Grant Stainless Steel Quartz Chronograph Watch,$56.00,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81Odr+AvRlL._AC_UL320_.jpg
"Tommy Hilfiger Men's Quartz Stainless Steel and Bracelet Casual Watch, Color: Gold (Model: 1791686)",,4.6 out of 5 stars,https://m.media-amazon.com/images/I/81NYPoWxLLL._AC_UL320_.jpg
Citizen Men's BI5012-53E Quartz Gold Tone Stainless Steel Watch Case and Bracelet,$115.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/914Ai9GVmdL._AC_UL320_.jpg
Nixon Sentry SS Stainless Steel Day/Date 42mm WR 100 Meters Mens Watch A356,$275.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/81Vmcu3LFeL._AC_UL320_.jpg
BUREI Men's Fashion Minimalist Wrist Watch Analog Date with Stainless Steel Mesh Band,$29.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71MI8xGnA6L._AC_UL320_.jpg
BERING Men's Analogue Solar Powered Watch with Stainless Steel Strap 16433-002,$148.01,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61uYfYwQ2jL._AC_UL320_.jpg
Mens Watches Ultra-Thin Minimalist Waterproof-Fashion Wrist Watch for Men Unisex Dress with Leather Band,$42.99,4.3 out of 5 stars,https://m.media-amazon.com/images/I/51waqVmSpML._AC_UL320_.jpg
Timex Men's Expedition Acadia Full Size Watch,$29.92,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81mTdNUQ+uL._AC_UL320_.jpg
Michael Kors Lexington Chronograph Stainless Steel Watch,$135.78,4.7 out of 5 stars,https://m.media-amazon.com/images/I/61kvTPDxnkL._AC_UL320_.jpg
Timex Men's Easy Reader Day-Date Expansion Band Watch,$39.90,4.5 out of 5 stars,https://m.media-amazon.com/images/I/8111yj0YDBL._AC_UL320_.jpg
Fossil Men's Neutra Stainless Steel Quartz Chronograph Watch,$90.55,4.6 out of 5 stars,https://m.media-amazon.com/images/I/81Loat9kDZL._AC_UL320_.jpg
Fossil Men's Townsman Stainless Steel and Leather Casual Quartz Chronograph Watch,$80.63,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81J80MqIAfL._AC_UL320_.jpg
